Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
A Lawyer's Life,,,,,"Johnnie Cochran, Johnnie L. Cochran, David Fisher","Cochran, Johnnie",,,,,,St. Martin's Press,,2003/11/01,2003,,,,Biography & Autobiography,"The most famous lawyer in America talks about the law, his life, and how he has won.Johnnie Cochran has been a lawyer for almost forty years. In that time, he has taken on dozens of groundbreaking cases and emerged as a pivotal figure in race relations in America. Cochran gained international recognition as one of America's best - and most controversial lawyers - for leading 'the Dream Team' defense of accused killer O.J. Simpson in the Trial of the Century. Many people formed their perception of Cochran based on his work in that trial. But long before the Simpson trial and since then Johnnie Cochran has been a leader in the fight for justice for all Americans. This is his story.Cochran emerged from the trial as one of the nation's leading African-American spokespersons - and he has done most of his talking through the courtroom. Abner Louima. Amadou Diallo. The racially-profiled New Jersey Turnpike Four. Sean ""P. Diddy"" Combs. Patrick Dorismond. Cynthia Wiggins. These are the names that have dominated legal headlines - and Cochran was involved with each of them. No one who first encountered him during the Simpson trial can appreciate his impact on our world until they've read his whole story.Drawing on Cochran's most intriguing and difficult cases, A Lawyer's Life shows how he's fought his critics, won for his clients, and affected real change within the system. This is an intimate and compelling memoir of one lawyer's attempt to make us all truly equal in the eyes of the law.",,,,,,,,,,,320,,,,,,English,,,,,,9780312319670,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 18:10:10.282351970,,,,,,,pe3cK4HBx3oC,I,0,,
A Man Called Intrepid,,The Incredible WWII Narrative of the Hero Whose Spy Network and Secret Diplomacy Changed the Course of History,,,William Stevenson,"Stevenson, William",,,,,,Globe Pequot Press,,,2009,,,,History,"A classic about real-life WWII espionage, as conducted by its modern master * A Man Called Intrepid is the classic true story of Sir William Stephenson (codenamed Intrepid) and the spy network he founded that would ultimately stall the Nazi war machine and help win World War II. Ian Fleming, bestselling author of the James Bond novels, once remarked, “James Bond is a highly romanticized version of a true spy. The real thing is William Stephenson.”  Illustrated with thirty-two pages of black-and-white photographs, this book describes the infamous “Camp X” spy training center in Ontario, Canada; the breaking of the Ultra Code used by Enigma; and countless tales of assassinations, clandestine activities, guerrilla armies, resistance support, and suicide missions. This modern classic, which reads like fiction, was a national bestseller when first published in 1976.",,,,,,,,,,,504,,,,,,English,,,,,,9781599211701,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/07 23:47:25.431586027,,,,,,,QeBiPgAACAAJ,C,0,,
A Man for All Markets,,"From Las Vegas to Wall Street, how I Beat the Dealer and the Market",,,Edward O. Thorp,"Thorp, Edward O.",,,,,,Random House,,,2017,,,,Biography & Autobiography,"The incredible true story of the card-counting mathematics professor who taught the world how to beat the dealer and, as the first of the great quantitative investors, ushered in a revolution on Wall Street.  A child of the Great Depression, legendary mathematician Edward O. Thorp invented card counting, proving the seemingly impossible: that you could beat the dealer at the blackjack table. As a result he launched a gambling renaissance. His remarkable success--and mathematically unassailable method--caused such an uproar that casinos altered the rules of the game to thwart him and the legions he inspired. They barred him from their premises, even put his life in jeopardy. Nonetheless, gambling was forever changed.  Thereafter, Thorp shifted his sights to ""the biggest casino in the world"": Wall Street. Devising and then deploying mathematical formulas to beat the market, Thorp ushered in the era of quantitative finance we live in today. Along the way, the so-called godfather of the quants played bridge with Warren Buffett, crossed swords with a young Rudy Giuliani, detected the Bernie Madoff scheme, and, to beat the game of roulette, invented, with Claude Shannon, the world's first wearable computer.  Here, for the first time, Thorp tells the story of what he did, how he did it, his passions and motivations, and the curiosity that has always driven him to disregard conventional wisdom and devise game-changing solutions to seemingly insoluble problems. An intellectual thrill ride, replete with practical wisdom that can guide us all in uncertain financial waters, A Man for All Markets is an instant classic--a book that challenges its readers to think logically about a seemingly irrational world.  Praise for A Man for All Markets  ""In A Man for All Markets, [Thorp] delightfully recounts his progress (if that is the word) from college teacher to gambler to hedge-fund manager. Along the way we learn important lessons about the functioning of markets and the logic of investment.""--The Wall Street Journal  ""[Thorp] gives a biological summation (think Richard Feynman's Surely You're Joking, Mr. Feynman!) of his quest to prove the aphorism 'the house always wins' is flawed. . . . Illuminating for the mathematically inclined, and cautionary for would-be gamblers and day traders""-- Library Journal",,,,,,,,,,,396,,,,,,English,,,,,,9781400067961,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 19:52:25.730752944,,,,,,,vb_JDQAAQBAJ,L,0,,
A Man Without a Country,,,,,"Kurt Vonnegut, Jr.","Jr., Kurt Vonnegut,",,,,,,Seven Stories Press,,,2005,,,,Biography & Autobiography,"A Man Without a Country is Kurt Vonnegut’s hilariously funny and razor-sharp look at life (""If I die—God forbid—I would like to go to heaven to ask somebody in charge up there, ‘Hey, what was the good news and what was the bad news?""), art (""To practice any art, no matter how well or badly, is a way to make your soul grow. So do it.""), politics (""I asked former Yankees pitcher Jim Bouton what he thought of our great victory over Iraq and he said, ‘Mohammed Ali versus Mr. Rogers.’""), and the condition of the soul of America today (""What has happened to us?""). Based on short essays and speeches composed over the last five years and plentifully illustrated with artwork by the author throughout, A Man Without a Country gives us Vonnegut both speaking out with indignation and writing tenderly to his fellow Americans, sometimes joking, at other times hopeless, always searching.",,,,,,,,,,,146,,,,,,English,,,,,,9781583227138,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:30:12.661504030,,,,,,,PMTdmAEACAAJ,U,0,,
A Mind at Play,,How Claude Shannon Invented the Information Age,,,"Jimmy Soni, Rob Goodman","Soni, Jimmy",,,,,,Simon and Schuster,,2017/07/18,2017,,,,Biography & Autobiography,"Winner of the Neumann Prize for the History of Mathematics**Named a best book of the year by Bloomberg and Nature** **'Best of 2017' by The Morning Sun** ""We owe Claude Shannon a lot, and Soni & Goodman’s book takes a big first step in paying that debt."" —San Francisco Review of Books  ""Soni and Goodman are at their best when they invoke the wonder an idea can instill. They summon the right level of awe while stopping short of hyperbole."" —Financial Times  ""Jimmy Soni and Rob Goodman make a convincing case for their subtitle while reminding us that Shannon never made this claim himself."" —The Wall Street Journal  ""Soni and Goodman have done their research...A Mind at Play reveals the remarkable human behind some of the most important theoretical and practical contributions to the information age."" —Nature  ""A Mind at Play shows us that you don't need to be a genius to learn from a genius. Claude Shannon's inventive, vibrant life demonstrates how vital the act of play can be to making the most of work."" —Inc.  “A charming account of one of the twentieth century’s most distinguished scientists…Readers will enjoy this portrait of a modern-day Da Vinci.” —FortuneIn their second collaboration, biographers Jimmy Soni and Rob Goodman present the story of Claude Shannon—one of the foremost intellects of the twentieth century and the architect of the Information Age, whose insights stand behind every computer built, email sent, video streamed, and webpage loaded. Claude Shannon was a groundbreaking polymath, a brilliant tinkerer, and a digital pioneer. He constructed the first wearable computer, outfoxed Vegas casinos, and built juggling robots. He also wrote the seminal text of the digital revolution, which has been called “the Magna Carta of the Information Age.” In this elegantly written, exhaustively researched biography, Soni and Goodman reveal Claude Shannon’s full story for the first time. With unique access to Shannon’s family and friends, A Mind at Play brings this singular innovator and always playful genius to life.",,,,,,,,,,,366,,,,,,English,,,,,,9781476766683,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 19:40:08.743759036,,,,,,,gygsDwAAQBAJ,K,0,,
A Mind for Numbers,,How to Excel at Math and Science (even If You Flunked Algebra),,,Barbara A. Oakley,"Oakley, Barbara A.",,,,,,Jeremy P. Tarcher/Penguin,,,2014,,,,Business & Economics,"Whether you are a student struggling to fulfil a math or science requirement, or an established professional embarking on a career change that requires a higher level of math competency, A Mind for Numbersoffers the necessary tools for getting a better grasp on this often intimidating but inescapable field. Engineering professor Barbara Oakley knows firsthand how it feels to struggle with math.She flunked her way through high school math and science courses, but when she saw how her lack of mathematical and technical savvy was severely limiting her options post-graduation, she returned to college newly determined to retool her brain to master the very subjects that had given her so much trouble. In A Mind for Numbers, Dr. Oakley lets us in on the secrets to effectively learning math and science, based on insights from neuroscience and cognitive psychology.Contrary to popular belief, math requires creative, as well as analytical, thinking.Many people think there's only one way to solve a problem, when in fact there are often a number of methods - you just need the creativity to see them.For example, there are more than three hundred different known proofs of the Pythagorean Theorem. We all have what it takes to excel in math, and learning it is not as painful as some might think. 'If you struggled through math and slept through science, there's hope. Polymath Barbara Oakley reveals how to unlock the analytic powers of our brains so we can learn how to learn. This book should be required reading for students - and for my mother.'Adam Grant, professor of management, The Wharton School, University of Pennsylvania, and New York Times- bestselling author of Give and Take 'A wonderful book! How do you come to lovemath and science, and how do you come to learnmath and science? Read A Mind for Numbers. Barbara Oakley is the magician who will help you do both.'Francisco J. Ayala, former President and Chairman of the Board, American Association for the Advancement of Science 'In my book The Math Instinct, I described how we have known since the early 1990s that all ordinary people can do mathematics, and in The Math Gene, I explained why the capacity for mathematical thinking is both a natural consequence of evolution and yet requires effort to unleash it. What I did not do is show how to tap in to the innate ability.Professor Oakley does just that.'Keith Devlin, NPR Weekend Edition's'Math Guy'",,,,,,,,,,,316,,,,,,English,,,,,,9780399165245,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:38:44.094257950,,,,,,,Jv3YCwAAQBAJ,W,0,,
A Moveable Feast,,,,,Ernest Hemingway,"Hemingway, Ernest",,,,,,Scribner,,,2003,,,,Biography & Autobiography,"Ernest Hemingway’s classic memoir of Paris in the 1920s, now available in a restored edition, includes the original manuscript along with insightful recollections and unfinished sketches.Published posthumously in 1964, A Moveable Feast remains one of Ernest Hemingway’s most enduring works. Since Hemingway’s personal papers were released in 1979, scholars have examined the changes made to the text before publication. Now, this special restored edition presents the original manuscript as the author prepared it to be published. Featuring a personal Foreword by Patrick Hemingway, Ernest’s sole surviving son, and an Introduction by grandson of the author, Seán Hemingway, editor of this edition, the book also includes a number of unfinished, never-before-published Paris sketches revealing experiences that Hemingway had with his son, Jack, and his first wife Hadley. Also included are irreverent portraits of literary luminaries, such as F. Scott Fitzgerald and Ford Maddox Ford, and insightful recollections of Hemingway’s own early experiments with his craft. Widely celebrated and debated by critics and readers everywhere, the restored edition of A Moveable Feast brilliantly evokes the exuberant mood of Paris after World War I and the unbridled creativity and unquenchable enthusiasm that Hemingway himself epitomized.",,,,,,,,,,,240,,,,,,English,,,,,,9780684824994,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 22:23:13.440055966,,,,,,,3lnPc86LFEoC,M,0,,
A Pattern Language,,"Towns, Buildings, Construction",,,"Christopher Alexander, Professor in the Department of Architecture Christopher Alexander, Sara Ishikawa, Murray Silverstein, Max Jacobson, Ingrid Fiksdahl-King, Angel Shlomo","Alexander, Christopher",,,,,,OUP USA,,,1977,,,,Architecture,"You can use this book to design a house for yourself with your family; you can use it to work with your neighbors to improve your town and neighborhood; you can use it to design an office, or a workshop, or a public building. And you can use it to guide you in the actual process of construction.  After a ten-year silence, Christopher Alexander and his colleagues at the Center for Environmental Structure are now publishing a major statement in the form of three books which will, in their words, ""lay the basis for an entirely new approach to architecture, building and planning, which will we hope replace existing ideas and practices entirely."" The three books are The Timeless Way of Building, The Oregon Experiment, and this book, A Pattern Language.  At the core of these books is the idea that people should design for themselves their own houses, streets, and communities. This idea may be radical (it implies a radical transformation of the architectural profession) but it comes simply from the observation that most of the wonderful places of the world were not made by architects but by the people.  At the core of the books, too, is the point that in designing their environments people always rely on certain ""languages,"" which, like the languages we speak, allow them to articulate and communicate an infinite variety of designs within a forma system which gives them coherence. This book provides a language of this kind. It will enable a person to make a design for almost any kind of building, or any part of the built environment.  ""Patterns,"" the units of this language, are answers to design problems (How high should a window sill be? How many stories should a building have? How much space in a neighborhood should be devoted to grass and trees?). More than 250 of the patterns in this pattern language are given: each consists of a problem statement, a discussion of the problem with an illustration, and a solution. As the authors say in their introduction, many of the patterns are archetypal, so deeply rooted in the nature of things that it seemly likely that they will be a part of human nature, and human action, as much in five hundred years as they are today.",,,,,,,,,,,1171,,,,,,English,,,,,,9780195019193,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 10:10:26.991647958,,,,,,,hwAHmktpk5IC,S,0,,
A Philosophy of Software Design,,,,,John K. Ousterhout,"Ousterhout, John K.",,,,,,John K Ousterhout,,2018/04/10,2018,,,,,,,,,,,,,,,,178,,,,,,English,,,,,,9781732102200,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 09:16:50.438658952,,,,,,,pD6-swEACAAJ,P,0,,
A Poetry Handbook,,,,,Mary Oliver,"Oliver, Mary",,,,,,Houghton Mifflin Harcourt,,,1994,,,,Language Arts & Disciplines,"With passion, wit, and good common sense, the celebrated poet Mary Oliver tells of the basic ways a poem is built-meter and rhyme, form and diction, sound and sense. Drawing on poems from Robert Frost, Elizabeth Bishop, and others, Oliver imparts an extraordinary amount of information in a remarkably short space. “Stunning” (Los Angeles Times). Index.",,,,,,,,,,,130,,,,,,English,,,,,,9780156724005,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/09 15:39:42.465430021,,,,,,,fuBHMccJx6UC,,0,,
A Portrait of the Artist as a Young Man,,,,,James Joyce,"Joyce, James",,,,,,Wordsworth Editions,,,1992,,,,Fiction,"With an Introduction and Notes by Dr. Jacqueline Belanger, University of Cardiff. 'A Portrait of the Artist as a Young Man' represents the transitional stage between the realism of Joyce's 'Dubliner's and the symbolism of 'Ulysses', and is essential to the understanding of the later work. This novel is a highly autobiographical account of the adolescence of Stephen Dedalus, who reappears in 'Ulysses', and who comes to realise that before he can become a true artist, he must rid himself of the stultifying effects of the religion, politics and essential bigotry of his background in late 19th century Ireland. Written with a light touch, this is perhaps the most accessible of Joyce's works. AUTHOR: James Augustine Aloysius Joyce (2 February 1882 - 13 January 1941) was an Irish writer and poet, widely considered to be one of the most influential writers of the 20th century. Along with Marcel Proust, Virginia Wolf, and William Faulkner, Joyce is a key figure in the development of the modernist novel. He is best known for his landmark novel Ulysses (1922). Other major works are the short-story collection Dubliners (1914), and the novels A Portrait of the Artist as a Young Man (1916) and Finnegans Wake (1939). Although most of his adult life was spent outside the country, Joyce's Irish experiences are essential to his writings and provide all of the settings for his fiction and much of their subject matter. In particular, his rocky early relationship with the Irish Catholic Church is reflected by a similar conflict in his character Stephen Dedalus, who appears in two of his novels. His fictional universe is firmly rooted in Dublin and reflects his family life and the events and friends (and enemies) from his school and college days; Ulysses is set with precision in the real streets and alleyways of the city. As the result of the combination of this attention to one place and his voluntary exile in continental Europe, most notably in Paris, Joyce paradoxically became both one of the most cosmopolitan yet most regionally focused of all the English language writers of his time.",,,,,,,,,,,252,,,,,,English,,,,,,9781853260063,0,0.000000,,Unread,,,,,,,,0,,,,2019/11/08 16:46:57.636365056,,,,,,,C_rPXanc_HAC,G,0,,
